,GeoAreaName,Time_Detail,BOTHSEX.SKILL_READ.GRAD23,BOTHSEX.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.GRAD23,FEMALE.SKILL_MATH.LOWSEC,MALE.SKILL_MATH.GRAD23,BOTHSEX.SKILL_MATH.PRIMAR,MALE.SKILL_READ.GRAD23,MALE.SKILL_MATH.LOWSEC,FEMALE.SKILL_READ.LOWSEC,BOTHSEX.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.GRAD23,BOTHSEX.SKILL_MATH.LOWSEC,MALE.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.PRIMAR,BOTHSEX.SKILL_MATH.GRAD23,MALE.SKILL_MATH.PRIMAR,MALE.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.PRIMAR
0,Afghanistan,2016,22.0,38.0448334245869,22.5,28.415388609796498,26.5,3.8647809608137442,21.5,28.342291555259763,41.67333333333333,11.694221583935333,22.5,28.40191514575697,14.557122934489632,17.57925158632803,24.5,17.34076404936155,34.876666666666665,14.478434384426658
1,Argentina,2006,71.7278217420377,42.1360341314309,57.4441234278841,34.0,56.62442699826121,48.594413824779,69.2822915765473,37.94,50.18,44.70338831006471,75.7942248547671,35.8565198286177,42.086772720278,47.375020490801404,56.7716806983736,50.83023242768189,33.1,47.9332754573022
2,Argentina,2013,76.3238875592032,59.694244923605766,73.7660237066364,40.26,68.4027584532019,55.602812449876296,72.4916775950772,44.29,55.43666666666667,46.4210376450335,79.99772734415991,42.20438631111107,41.3690045540527,51.4023419057946,71.14711855361921,58.627595684702705,38.446666666666665,52.5272773071365
3,Australia,2011,92.9327995842783,80.290074883196,69.12468691445729,80.61,71.20735033095279,62.9412863521891,91.064701859836,80.13333333333334,87.45666666666666,67.08145767527456,94.8748444898021,80.3665418238938,66.45035232823552,67.986424207805,70.1788972116369,64.2692721435066,73.3,61.6040575997986
4,Australia,2016,94.4862050725685,82.25670066898441,55.63502343440056,79.19333333333334,60.68610490940421,68.07642678844826,92.9351855752569,79.08,89.81,70.97259967171652,96.23328818152528,79.12707388295773,68.69225796727477,73.45903351888636,58.198133617042934,67.3799916980754,74.69333333333333,68.8193781094737
5,Bahrain,2016,69.3683351141286,43.6433853789764,45.62457805235317,26.109992610086167,44.254134120664304,40.26361686184863,59.8273765614051,29.807560395525698,48.92666666666667,41.73029592610303,78.98645580854141,27.837803488054032,38.927225491144064,44.64333678319997,44.76463896302994,42.44762874013943,37.6,38.6621075250143
6,Bangladesh,2015,41.0,54.0,30.723118095888832,52.0,30.52935296156443,25.0,41.26666666666667,62.0,54.0,45.0,45.5,57.0,27.2205159105383,28.449132277164633,28.0,18.867164006923367,55.0,19.143519142762234
7,Bangladesh,2017,47.0,38.044833424586905,39.01307320647293,37.371358310601,39.46737161885843,32.0,43.0726920230795,42.79544143367196,41.67333333333334,44.0,51.91992458420577,40.117582505440936,35.0549627311591,37.25650857264357,34.0,35.390494754553536,34.87666666666667,33.06547450997704
8,Botswana,2011,55.7019103092505,46.6664287217811,30.9831928558813,35.032316410251504,26.7786938410625,15.1848055384838,48.5866259739708,35.459400520614565,48.906666666666666,25.7530059560013,62.5684940696601,35.277274897952466,24.125748079085536,27.40767119675523,28.9452153037704,13.795549833187001,44.71,16.495110615126
9,Brazil,2006,68.4538712071018,44.4966481777709,54.7525529448098,24.33,52.0460455108624,40.4585136450889,64.1639536095921,31.14,50.08,49.9315380635258,73.82804213181991,27.480071385672897,46.1968009109093,53.9236086096055,53.1277448565281,42.742073432448,38.0,38.3385142457684
